Gene_Symbol	logFC	logCPM	PValue	FDR	Tumor
ROS1	ROS1	2.90200361642574	6.00915578674704	2.83021958098966e-39	5.9751182741862e-38	HNSC
PTPRT	PTPRT	-1.86883910281456	4.92652772510334	2.86307750638089e-39	5.9751182741862e-38	HNSC
NR4A3	NR4A3	-1.75504605468893	7.80160881844573	1.01984075638533e-34	2.03968151277066e-33	HNSC
SALL4	SALL4	2.64849182191555	4.43003013938779	8.74952269874113e-33	1.6799083581583e-31	HNSC
CNTNAP2	CNTNAP2	2.48636125411466	8.72327140940191	1.99894551236819e-31	3.6903609459105e-30	HNSC
TEC	TEC	-1.6419208537094	5.71381473597935	1.24262455932451e-29	2.20911032768803e-28	HNSC
ETV1	ETV1	-1.57764156637337	7.37787502812035	1.82803602205705e-27	3.13377603781208e-26	HNSC
HOXA9	HOXA9	2.13030547906691	5.75098015665071	8.3155468070131e-25	1.37636636805734e-23	HNSC
CLTCL1	CLTCL1	-1.49662845381417	8.02671046151877	1.51076452096592e-24	2.41722323354547e-23	HNSC
ROBO2	ROBO2	-1.4998440878316	6.08205744486094	1.62646827884022e-24	2.51840249626872e-23	HNSC
NRG1	NRG1	2.10017332602467	9.07000736933145	2.78452404150389e-24	4.13303385434269e-23	HNSC
FSTL3	FSTL3	2.10001280937123	10.3922559230704	2.8414607748606e-24	4.13303385434269e-23	HNSC
PTK6	PTK6	-1.46826951824752	10.0381540185771	1.23709561683267e-23	1.74648792964612e-22	HNSC
ELF3	ELF3	-1.4507072028982	11.8669948599161	4.70859947484735e-23	6.45750785121922e-22	HNSC
TNC	TNC	2.02088393269374	14.2504577478911	6.61934023691093e-23	8.82578698254791e-22	HNSC
PBX1	PBX1	-1.40163593071038	9.69364177831965	1.98576734908958e-21	2.57613061503512e-20	HNSC
CDH11	CDH11	1.91162236616976	9.94403665513353	5.33249698375387e-21	6.7357856636891e-20	HNSC
KLF4	KLF4	-1.38137561523231	11.7599212221552	8.48921034642734e-21	1.04482588879106e-19	HNSC
CHST11	CHST11	1.89486177373085	8.5674674993747	1.07840872409972e-20	1.29409046891966e-19	HNSC
PIK3R1	PIK3R1	-1.36678475968889	9.97492562979989	2.47372065384923e-20	2.89606320450642e-19	HNSC
PAX5	PAX5	1.86751107522803	4.45781743029313	2.61341193650432e-19	2.98675649886208e-18	HNSC
APOBEC3B	APOBEC3B	1.74815152896245	9.21536413115193	2.80991213596309e-18	3.13664610526112e-17	HNSC
HOXC13	HOXC13	1.71994105561813	7.66222802859733	8.43569177388523e-18	9.20257284423843e-17	HNSC
SOCS1	SOCS1	1.71189001210465	7.99780013341025	1.3074678178081e-17	1.39463233899531e-16	HNSC
PDCD1LG2	PDCD1LG2	1.70683227649913	7.16359558625207	1.63300032793626e-17	1.70400034219436e-16	HNSC
LMO2	LMO2	-1.26645033955392	7.54954606801482	2.58041282427904e-17	2.63531522479562e-16	HNSC
MLLT4	MLLT4	-1.26052699123845	11.0219159106581	3.24327550215989e-17	3.24327550215989e-16	HNSC
TBX3	TBX3	-1.25482913725901	8.51769754452817	4.99058397349312e-17	4.88873532097286e-16	HNSC
PREX2	PREX2	-1.26150913777357	4.66526652297579	8.37626339579198e-17	8.0412128599603e-16	HNSC
CACNA1D	CACNA1D	-1.26240464159891	4.11411481131909	1.19997956380233e-16	1.12939253063749e-15	HNSC
GLI1	GLI1	1.63894970096565	6.41466809147747	2.60038933945989e-16	2.40035939027067e-15	HNSC
FOXO4	FOXO4	-1.1939432997024	8.32996019249888	2.13782550973065e-15	1.93614385786927e-14	HNSC
FOXA1	FOXA1	-1.18888287842379	8.37101812438267	2.84619940775438e-15	2.529955029115e-14	HNSC
IL6ST	IL6ST	-1.18583358264088	9.13906802331185	3.30940604009444e-15	2.88820890771878e-14	HNSC
WIF1	WIF1	-1.18299479799502	7.30346602947114	4.33099269472703e-15	3.71227945262317e-14	HNSC
IDH2	IDH2	-1.17852931589633	11.6712335907104	4.95660198240707e-15	4.17398061676385e-14	HNSC
ERBB3	ERBB3	-1.16481113372036	10.708648612966	1.10845718964884e-14	9.17343881088694e-14	HNSC
WNK2	WNK2	-1.15340152595113	9.09938655834504	2.19237722395543e-14	1.78362892796374e-13	HNSC
POLQ	POLQ	1.48045863249758	8.11893987667436	4.35064482614466e-14	3.48051586091573e-13	HNSC
FGFR4	FGFR4	1.46850034348287	7.02470643808882	8.18735296718919e-14	6.44250725287018e-13	HNSC
PRDM1	PRDM1	-1.11976369824187	10.3532030893624	1.40923889655291e-13	1.09102366184742e-12	HNSC
CCNE1	CCNE1	1.44085808452138	7.92648626753247	1.73970186600989e-13	1.32548713600753e-12	HNSC
CD79A	CD79A	1.40515404685935	8.20134074477307	5.43491396717687e-13	4.07618547538266e-12	HNSC
IL7R	IL7R	1.38017455007555	7.69150358056166	1.27821981509907e-12	9.4391617115008e-12	HNSC
AFF3	AFF3	-1.08795981934038	4.89639119440815	1.51871170775465e-12	1.10451760563975e-11	HNSC
FANCA	FANCA	1.34849150131234	8.65231077644023	3.49134430447821e-12	2.50126159126797e-11	HNSC
CYSLTR2	CYSLTR2	1.38198102846247	3.9656934029264	4.7416879212853e-12	3.34707382678962e-11	HNSC
TPM3	TPM3	-1.052379348774	13.1375520481797	4.90633293619176e-12	3.41310117300297e-11	HNSC
BUB1B	BUB1B	1.32304994248303	9.05490730000406	7.70249561317445e-12	5.28171127760533e-11	HNSC
PIM1	PIM1	-1.03033901226829	11.1814218955119	1.49223699454624e-11	1.00883627800309e-10	HNSC
ZNF331	ZNF331	-1.03130671508055	7.58945688486648	1.54506090374335e-11	1.03004060249557e-10	HNSC
GRIN2A	GRIN2A	1.30846313714409	5.78930961994052	1.71367686856198e-11	1.12680122864349e-10	HNSC
EXT1	EXT1	1.25990810658987	11.3216410907567	5.56260406963563e-11	3.60817561273662e-10	HNSC
STIL	STIL	1.24200963394598	8.55903480719193	9.86858722952466e-11	6.31589582689578e-10	HNSC
HEY1	HEY1	1.2355645054904	8.47344770450102	1.25006372800568e-10	7.69269986465036e-10	HNSC
PLAG1	PLAG1	1.23416539761892	7.11376882418488	1.37107870744534e-10	8.3306048047312e-10	HNSC
FEN1	FEN1	1.21289122813016	10.279109637025	2.37673507901248e-10	1.42604104740749e-09	HNSC
RECQL4	RECQL4	1.18072324711448	9.36706976493349	6.46847979798485e-10	3.69627417027706e-09	HNSC
TCL1A	TCL1A	1.19285255191528	4.9260915111803	6.79469175993454e-10	3.83700240561009e-09	HNSC
DGKG	DGKG	1.18174042675643	6.38556422273971	8.41150348420313e-10	4.69479264234593e-09	HNSC
CARD11	CARD11	1.16956935743771	8.17145859353505	8.83452828188841e-10	4.87422250035223e-09	HNSC
BRCA2	BRCA2	1.15966020412757	7.59866715781986	1.20155869297892e-09	6.55395650715774e-09	HNSC
CDK6	CDK6	1.15604570302772	11.2039721859393	1.2855390611794e-09	6.93324437490013e-09	HNSC
PRF1	PRF1	1.14621716662168	8.2227539231467	1.80298093615881e-09	9.5102291138047e-09	HNSC
ELF4	ELF4	1.08219324826063	10.4385055989904	1.07957855992689e-08	5.63258379092291e-08	HNSC
POU2AF1	POU2AF1	1.07377498949813	8.29164600053177	1.39228105497729e-08	7.18596673536667e-08	HNSC
PDGFRB	PDGFRB	1.06731288693153	11.2342527432931	1.64301510597313e-08	8.38986437092662e-08	HNSC
BCL2L12	BCL2L12	1.06026146764567	8.70307351023177	2.06025317224062e-08	1.01638308456928e-07	HNSC
FAT1	FAT1	1.05650520096347	12.5691187793839	2.20147071086052e-08	1.06737973859904e-07	HNSC
BRCA1	BRCA1	1.05069852064579	8.91982704536938	2.63887743022648e-08	1.26666116650871e-07	HNSC
DDIT3	DDIT3	1.05168588367973	8.6016774567287	2.669546996874e-08	1.26869560247477e-07	HNSC
CASC5	CASC5	1.04339898188658	8.20905451675549	3.21847480053499e-08	1.49987175170563e-07	HNSC
MET	MET	1.02931297177519	11.0851982513833	4.66681182101649e-08	2.13339968960754e-07	HNSC
NDRG1	NDRG1	1.01739395873329	15.4727568530728	6.4211795322458e-08	2.88052913596073e-07	HNSC
FANCG	FANCG	1.00195531053364	8.99940394258144	9.9527243071247e-08	4.42343302538876e-07	HNSC
